"adsorption(temperature), created by Plot Digitizer, 2.6.9"
"Date: 10/12/21, 16:05:31"


19
temperature (°C),adsorption
400.088,1.11229,
379.675,1.19414,
359.471,1.31089,
339.720,1.41424,
319.743,1.52295,
300.422,1.66658,
280.222,1.77259,
260.464,1.89204,
240.023,2.03560,
220.031,2.17918,
199.821,2.30665,
180.285,2.43149,
160.546,2.50802,
140.581,2.58990,
120.649,2.59666,
101.144,2.65175,
80.0571,2.73892,
60.2883,2.88252,
19.3915,3.20450,
